State,Participation Rate,Total
Alabama,7,1127
Alaska,37,1098
Arizona,29,1139
Arkansas,4,1157
California,67,1049
Colorado,100,1012
Connecticut,100,1039
Delaware,100,978
District of Columbia,100,979
Florida,100,992
Georgia,68,1053
Hawaii,51,1095
Idaho,100,984
Illinois,98,1007
Indiana,64,1074
Iowa,3,1220
Kansas,4,1237
Kentucky,4,1207
Louisiana,5,1170
Maine,98,995
Maryland,88,1029
Massachusetts,80,1119
Michigan,100,998
Minnesota,4,1257
Mississippi,3,1203
Missouri,4,1212
Montana,10,1185
Nebraska,3,1229
Nevada,17,1150
New Hampshire,93,1055
New Jersey,82,1081
New Mexico,19,1055
New York,79,1058
North Carolina,48,1096
North Dakota,2,1231
Ohio,21,1070
Oklahoma,20,971
Oregon,51,1104
Pennsylvania,67,1078
Rhode Island,100,990
South Carolina,68,1026
South Dakota,3,1218
Tennessee,7,1186
Texas,73,1010
Utah,3,1204
Vermont,63,1103
Virginia,65,1116
Washington,69,1073
West Virginia,98,936
Wisconsin,3,1243
Wyoming,2,1220
